Date,Shadow Rate
2018-02-28,-5.146628192746501
2018-01-31,-4.718299996340608
2017-12-31,-4.825199632399688
2017-11-30,-5.222964945433226
2017-10-31,-5.318106724041506
2017-09-30,-5.256399299376476
2017-08-31,-5.438843529717367
2017-07-31,-5.184768413138073
2017-06-30,-5.135942321205967
2017-05-31,-5.502041904095041
2017-04-30,-5.334076893091517
2017-03-31,-5.375255655415302
2017-02-28,-5.322269991720333
2017-01-31,-4.62392965913855
2016-12-31,-4.523785450093378
2016-11-30,-4.177916483130964
2016-10-31,-3.6245081853307077
2016-09-30,-4.569582325299809
2016-08-31,-4.521948806208069
2016-07-31,-4.544753097760623
2016-06-30,-4.335395503001422
2016-05-31,-3.811457462975426
2016-04-30,-3.624114981697314
2016-03-31,-3.7627687021640597
2016-02-29,-3.6768847664501294
2016-01-31,-3.22173754663725
2015-12-31,-2.561559380425148
2015-11-30,-2.860561359354925
2015-10-31,-2.7291915410363856
2015-09-30,-2.559260053065927
2015-08-31,-2.401260450075199
2015-07-31,-2.5641836245170424
2015-06-30,-2.3401699310248
2015-05-31,-2.347858878134261
2015-04-30,-2.0041766614171266
2015-03-31,-2.5969256846789612
2015-02-28,-2.5611940144095264
2015-01-31,-2.6314613569321565
2014-12-31,-2.249017862731783
2014-11-30,-1.8859676474957894
2014-10-31,-1.5501118658917648
2014-09-30,-1.3321349772162776
2014-08-31,-1.3388673657403558
2014-07-31,-0.9576636246328789
2014-06-30,-0.8608510791451245
2014-05-31,-0.8240462619214348
2014-04-30,-0.734019569446307
2014-03-31,-0.6959696737315291
2014-02-28,-0.6014833581800012
2014-01-31,-0.490431888301881
2013-12-31,-0.11825192892098002
2013-11-30,-0.2899723560230143
2013-10-31,-0.37846022432674786
2013-09-30,-0.4096766305907096
2013-08-31,-0.22300949247232893
2013-07-31,-0.41819594425319906
2013-06-30,0.5192132110008636
2013-05-31,-0.1795744879907879
2013-04-30,-0.6751028578166647
2013-03-31,-0.624940927953773
2013-02-28,-0.8099112488550375
2013-01-31,-0.6073954558045926
2012-12-31,-1.08649020011487
2012-11-30,-0.9804780444580175
2012-10-31,-0.9329990056922455
2012-09-30,-1.0113929082725797
2012-08-31,-1.0773140459556885
2012-07-31,-0.9412585616048048
2012-06-30,-0.6743371138139409
2012-05-31,-0.9208175716592706
2012-04-30,-0.40326812229043085
2012-03-31,-0.21804300215103112
2012-02-29,-0.4667792388356311
2012-01-31,-0.295047161605293
2011-12-31,-0.732679941046392
2011-11-30,0.06636851342650019
2011-10-31,0.5788928501106696
2011-09-30,0.4053958437782086
2011-08-31,0.9624057883622754
2011-07-31,1.2645526956928208
2011-06-30,1.3402960945844136
2011-05-31,1.0304552420715538
2011-04-30,0.8581495162088331
2011-03-31,0.7114706880381831
2011-02-28,0.6363800553965504
2011-01-31,0.6784631450210412
2010-12-31,0.5218864105178689
2010-11-30,0.7646159597707616
2010-10-31,0.9593160856514338
2010-09-30,0.8043667425945209
2010-08-31,0.5351801356353008
2010-07-31,0.6417872583047171
2010-06-30,0.39749030405291563
2010-05-31,0.04641015808945781
2010-04-30,0.3362030190400951
2010-03-31,0.21222246521545785
2010-02-28,0.02935569048593578
2010-01-31,0.1889799920733779
2009-12-31,0.19245778726227414
2009-11-30,0.13401279979658298
2009-10-31,-0.1190910389061628
2009-09-30,-0.4202101222687169
2009-08-31,-0.7304201423709351
2009-07-31,-0.4649567504644132
2009-06-30,0.17148082400548148
2009-05-31,0.26616518853026605
2009-04-30,0.2751821499830207
2009-03-31,0.12399495598324961
2009-02-28,0.40980930941139704
2009-01-31,0.7972815021354833
2008-12-31,1.6249197737223646
2008-11-30,1.933333690554413
2008-10-31,4.258211164695787
2008-09-30,3.7536965613845297
2008-08-31,4.278509906524114
2008-07-31,4.249132497717056
2008-06-30,4.159170089258385
2008-05-31,4.046689254054858
2008-04-30,4.024552739355297
2008-03-31,4.012205997390488
2008-02-29,4.05311197529187
2008-01-31,3.8766999786310663
2007-12-31,3.9645311978558517
2007-11-30,3.88379580458297
2007-10-31,3.847754096594329
2007-09-30,3.7632808739741925
2007-08-31,3.8163236468833155
2007-07-31,4.006874899685144
2007-06-30,3.910530391346022
2007-05-31,3.850033544576423
2007-04-30,3.7510659335054797
2007-03-31,3.7235367731877993
2007-02-28,3.619070613322833
2007-01-31,3.5605909860600917
2006-12-31,3.4797052155116077
2006-11-30,3.424142812696193
2006-10-31,3.391158065009467
2006-09-30,3.3606117950744796
2006-08-31,3.2144115705142404
2006-07-31,2.9813743751740276
2006-06-30,2.822728834635729
2006-05-31,2.740160255205513
2006-04-30,2.544533531825202
2006-03-31,2.518025309216849
2006-02-28,2.3231834065523245
2006-01-31,2.2861926129106074
2005-12-31,2.301308795647447
2005-11-30,2.349701532492606
2005-10-31,2.147019733613824
2005-09-30,1.9800761063536783
2005-08-31,2.102268628291071
2005-07-31,2.1170651790874473
2005-06-30,2.112223560138304
2005-05-31,2.0857671407800176
2005-04-30,2.053499619416897
2005-03-31,2.0028966008252276
2005-02-28,1.9874598327592423
2005-01-31,2.0284758003161585
2004-12-31,2.0753298654879906
2004-11-30,2.16810517126963
2004-10-31,2.135763948460486
2004-09-30,2.044736008528961
